"YearStart","LocationAbbr","LocationDesc","Class","Question","Data_Value","QuestionRenamed"
"2014","MN","Minnesota","Sugar Drinks","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar","59.1","Percent Sec Schools Allowing Sports Drink"
"2011","NC","North Carolina","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","3.5","IBCLCs Count"
"2016","NE","Nebraska","Breastfeeding","Number of La Leche League leaders per 1,000 live births","1.3","La Leche Leaders Count"
"2013","IN","Indiana","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","4.5","IBCLCs Count"
"2016","OH","Ohio","Sugar Drinks","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar","19.0","Percent Sec Schools Allowing Soda Purchase"
"2012","CT","Connecticut","Fruits and Vegetables","Number of food hubs in each state","2","Food Hubs Count"
"2019","NY","New York","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2015","TX","Texas","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2012","WI","Wisconsin","Sugar Drinks","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar","32.2","Percent Sec Schools Allowing Soda Purchase"
"2016","KY","Kentucky","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2014","MS","Mississippi","Fruits and Vegetables","Percent of secondary schools that offered a self-serve salad bar to students","11.2","Percent of Sec Schools Offering Salad Bar"
"2011","NE","Nebraska","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","22.3","Percent of BFHI births"
"2014","HI","Hawaii","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2011","MN","Minnesota","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","0.6","Percent of BFHI births"
"2019","NE","Nebraska","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2012","US","National","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","0","State-National Alignment on Avoiding Sugar Regulations"
"2014","AR","Arkansas","Sugar Drinks","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar","22.7","Percent Sec Schools Allowing Sports Drink"
"2011","ME","Maine","Breastfeeding","Number of La Leche League leaders per 1,000 live births","2.6","La Leche Leaders Count"
"2014","RI","Rhode Island","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2011","MT","Montana","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2011","IN","Indiana","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","8.8","Percent of BFHI births"
"2019","US","National","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","3","State-National Alignment on Vegetable Serving Regulations"
"2012","WA","Washington","Sugar Drinks","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar","56.7","Percent Sec Schools Allowing Sports Drink"
"2011","KY","Kentucky","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2012","GA","Georgia","Fruits and Vegetables","Percent of farmers markets that accept SNAP benefits","21.5","Percent of SNAP Farmers Markets"
"2016","IA","Iowa","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2016","LA","Louisiana","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","Yes","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2015","WY","Wyoming","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2018","WA","Washington","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2014","SD","South Dakota","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2015","NV","Nevada","Physical Activity","State has adopted some form of a Complete Streets policy","No","Complete Streets Policy"
"2018","NH","New Hampshire","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
